position,times,team,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:05:02,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,1
2,0:05:02,6M,M,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/,2
3,0:05:08,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,3
4,0:05:12,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,4
5,0:05:15,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,5
6,0:05:20,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,6
7,0:05:25,1M,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/,7
8,0:05:28,4M,M,U11,4,Inverclyde AC,https://www.inverclydeac.org/,8
9,0:05:29,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,9
10,0:05:31,37M,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/,10
11,0:05:40,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,11
12,0:05:41,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,12
13,0:05:43,9M,M,U11,9,Garscube Harriers,https://www.garscubeharriers.org.uk/,13
14,0:05:45,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,14
15,0:05:46,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,15
16,0:05:47,14M,M,U11,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/,16
17,0:05:48,1M,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/,17
18,0:05:48,11M,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/,18
19,0:05:49,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,19
20,0:05:49,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,20
21,0:05:50,6M,M,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/,21
22,0:05:51,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,22
23,0:05:54,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,23
24,0:05:59,11M,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/,24
25,0:06:01,11M,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/,25
26,0:06:03,48M,M,U11,48,Springburn Harriers,https://www.springburnharriers.co.uk/,26
27,0:06:04,10M,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,27
28,0:06:06,11M,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/,28
29,0:06:07,10M,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,29
30,0:06:07,54M,M,U11,54,VP-Glasgow,https://www.vp-glasgow.com,30
31,0:06:09,10M,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/,31
32,0:06:10,11M,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/,32
33,0:06:11,11M,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/,33
34,0:06:12,6M,M,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/,34
35,0:06:13,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,35
36,0:06:14,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,36
37,0:06:18,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,37
38,0:06:21,9M,M,U11,9,Garscube Harriers,https://www.garscubeharriers.org.uk/,38
39,0:06:28,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,39
40,0:06:30,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,40
41,0:06:35,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,41
42,0:06:39,9M,M,U11,9,Garscube Harriers,https://www.garscubeharriers.org.uk/,42
43,0:06:41,1M,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/,43
44,0:06:42,4M,M,U11,4,Inverclyde AC,https://www.inverclydeac.org/,44
45,0:06:46,2M,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,45
46,0:06:48,7M,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/,46
47,0:06:50,6M,M,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/,47
48,0:06:55,11M,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/,48
49,0:07:03,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,49
50,0:07:10,1M,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/,50
51,0:07:12,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,51
52,0:07:14,17M,M,U11,17,Calderglen Harriers,http://www.calderglenharriers.org.uk/,52
53,0:08:48,34M,M,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/,53
