position,times,team,gender,AgeCat,clubnumber,Club name,Website
1,0:05:26,48F,F,U11,48,Springburn Harriers,https://www.springburnharriers.co.uk/
2,0:05:27,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
3,0:05:29,10F,F,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
4,0:05:33,6F,F,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/
5,0:05:34,14F,F,U11,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
6,0:05:38,34F,F,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
7,0:05:40,48F,F,U11,48,Springburn Harriers,https://www.springburnharriers.co.uk/
8,0:05:42,37F,F,U11,37,Law & District AAC,http://www.lawaac.co.uk/
9,0:05:47,54F,F,U11,54,VP-Glasgow,https://www.vp-glasgow.com
10,0:05:54,2F,F,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
11,0:05:55,4F,F,U11,4,Inverclyde AC,https://www.inverclydeac.org/
12,0:05:57,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
13,0:05:58,11F,F,U11,11,Airdrie Harriers,http://airdrieharriers.org/
14,0:05:58,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
15,0:06:02,10F,F,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
16,0:06:04,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
17,0:06:05,44F,F,U11,44,North Ayrshire AAC,https://naathletics.co.uk/
18,0:06:07,11F,F,U11,11,Airdrie Harriers,http://airdrieharriers.org/
19,0:06:11,54F,F,U11,54,VP-Glasgow,https://www.vp-glasgow.com
20,0:06:12,2F,F,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
21,0:06:13,1F,F,U11,1,East Kilbride AC,http://www.ekac.org.uk/
22,0:06:14,4F,F,U11,4,Inverclyde AC,https://www.inverclydeac.org/
23,0:06:17,1F,F,U11,1,East Kilbride AC,http://www.ekac.org.uk/
24,0:06:20,10F,F,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
25,0:06:27,4F,F,U11,4,Inverclyde AC,https://www.inverclydeac.org/
26,0:06:28,37F,F,U11,37,Law & District AAC,http://www.lawaac.co.uk/
27,0:06:30,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
28,0:06:32,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
29,0:06:33,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
30,0:06:35,1F,F,U11,1,East Kilbride AC,http://www.ekac.org.uk/
31,0:06:40,2F,F,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
32,0:06:43,37F,F,U11,37,Law & District AAC,http://www.lawaac.co.uk/
33,0:06:44,34F,F,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
34,0:06:46,9F,F,U11,9,Garscube Harriers,https://www.garscubeharriers.org.uk/
35,0:06:50,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
36,0:06:57,48F,F,U11,48,Springburn Harriers,https://www.springburnharriers.co.uk/
37,0:07:02,10F,F,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
38,0:07:04,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
39,0:07:05,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
40,0:07:05,34F,F,U11,34,Kilbarchan AAC,https://kilbarchanaac.org.uk/
41,0:07:06,14F,F,U11,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
42,0:07:09,11F,F,U11,11,Airdrie Harriers,http://airdrieharriers.org/
43,0:07:10,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
44,0:07:11,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
45,0:07:16,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
46,0:07:19,11F,F,U11,11,Airdrie Harriers,http://airdrieharriers.org/
47,0:07:20,7F,F,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
48,0:07:22,10F,F,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
49,0:07:31,1F,F,U11,1,East Kilbride AC,http://www.ekac.org.uk/
50,0:07:34,48F,F,U11,48,Springburn Harriers,https://www.springburnharriers.co.uk/
